stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55123960600,Census Tract 9606,97.9,0,0,0.1,1.3,0.6,0.2,0.5,5.7,67604,0.4127,6.9
55039041500,Census Tract 415,93.4,1.1,0.9,0.1,1.6,3,3.3,0,12.1,53987,0.4141,15
55067960400,Census Tract 9604,93.2,1.8,0,0.5,3.1,1.4,0.9,0.1,2.4,69593,0.3928,1.1
55067960500,Census Tract 9605,89.9,0.5,0,2.2,3.8,3.6,1.4,0.2,8.9,43684,0.4486,3.3
55067960300,Census Tract 9603,95.1,0.6,0.2,0.4,1.7,1.9,1.2,0.6,4.8,67443,0.3256,1.2
55101002401,Census Tract 24.01,85.2,0,0.9,0,1.8,12.1,2.7,0.7,2.6,73315,0.518,8.2
55039041700,Census Tract 417,94.1,0,0.7,0,1.6,3.6,1.1,0.2,3.6,76176,0.351,1.8
55033970400,Census Tract 9704,89.8,0.2,3.7,0,2.9,3.4,1.6,0,3.9,72941,0.3786,2
55033970200,Census Tract 9702,95.7,0.6,0,0.4,1.7,1.6,0.3,0,3.6,57314,0.443,5.5
55033970300,Census Tract 9703,94.3,0,1.9,0.5,1.8,1.6,1.5,0,3,73347,0.3718,1.2
55141010800,Census Tract 108,97.2,0,0.1,1.2,0.9,0.7,0.6,0.4,3.5,56823,0.3791,3.4
55141011200,Census Tract 112,82.8,2,6.6,0,2.3,6.4,1.2,0,7.6,33275,0.4011,5.7
55141011600,Census Tract 116,93.4,0.7,0,0,0.9,5,0,0,4,62831,0.39,0.7
55141011700,Census Tract 117,93.1,1,0.5,0.5,2.2,2.7,0.3,0,5.7,46635,0.4022,3.6
55141010600,Census Tract 106,84.6,3.3,5,0.5,3.8,2.9,2,0,13.4,47366,0.5788,18.5
55141010300,Census Tract 103,92.1,1.8,1,0.2,0.2,4.6,1,0,5.4,46542,0.372,6.8
55137960300,Census Tract 9603,88.6,1.3,0.8,0,1,8.4,1.8,0.1,3.9,51223,0.4358,4.5
55137960100,Census Tract 9601,96.9,0,0.2,0.1,1,1.8,1.2,0,2.5,58886,0.392,4.2
55137960600,Census Tract 9606,96.4,0,0.6,0.4,1.7,0.9,0.6,0,3,54052,0.4604,2.7
55137960400,Census Tract 9604,93.9,0.1,0.3,0.6,1.2,3.9,0.5,0,5.9,51528,0.4055,8.4
55129950300,Census Tract 9503,94.7,0,0.4,1.7,2.2,0.9,0.6,0.2,4,53704,0.4438,1.9
55129950100,Census Tract 9501,94.1,0.4,1.7,1.7,2,0.1,1.8,0.4,4,45109,0.4383,1.6
55129950600,Census Tract 9506,96.1,0.1,0.1,0.2,2.9,0.6,0.3,0,3.5,53621,0.4244,3.9
55075961300,Census Tract 9613,93.6,4.1,1.1,0,0.3,0.8,0,0,3.3,59700,0.4164,11.6
55075961500,Census Tract 9615,95.3,0.5,0.3,0,0.2,3.7,0.9,0.6,9.7,53836,0.3869,13
55075961100,Census Tract 9611,92.8,0.8,0.1,0.8,3.4,2,0,0.5,4.5,59495,0.3661,2.5
55075960900,Census Tract 9609,97.4,0,0.2,0.6,0.7,1.1,0.3,0.2,0.2,59125,0.3727,1.1
55075960800,Census Tract 9608,96.6,0,0,0.6,0.5,2.3,0,0,2.6,57230,0.4079,5.1
55001950203,Census Tract 9502.03,94.3,0.2,0.3,0.1,3.8,1.2,0,0,5,38750,0.4661,3.5
55075961000,Census Tract 9610,94,0.2,0.3,0.1,1.6,3.7,1.8,0,2.8,55644,0.396,1.4
55001950700,Census Tract 9507,92.9,1.8,0.1,1,1,3.2,1.5,0,1.3,59375,0.3874,2
55081950600,Census Tract 9506,88.3,4.7,0.5,2.3,1.5,2.7,0.7,0,10.8,42438,0.3536,9.2
